2023-11-16 21:05:44.870826,E209,Humidité,55.5
2023-11-16 21:06:40.948548,B212,Humidité,57.0
2023-11-16 21:08:10.585501,B112,Humidité,54.5
2023-11-16 21:13:43.477747,E006,Humidité,52.5
2023-11-16 21:13:59.682975,E004,Humidité,50.5
2023-11-16 21:14:01.906856,B202,Humidité,54.5
2023-11-16 21:14:10.999656,E001,Humidité,54.0
2023-11-16 21:14:32.742010,B106,Humidité,53.5
2023-11-16 21:15:02.357788,B234,Humidité,51.0
2023-11-16 21:15:44.630209,E209,Humidité,55.5
2023-11-16 21:15:58.277073, hall-amphi,Humidité,53.5
2023-11-16 21:16:07.239424,E207,Humidité,51.5
2023-11-16 21:16:27.400985,B217,Humidité,50.5
2023-11-16 21:16:32.204636,E106,Humidité,51.0
2023-11-16 21:16:33.404878,B113,Humidité,58.5
2023-11-16 21:16:40.902606,B212,Humidité,57.0
2023-11-16 21:16:59.751308,Foyer-personnels,Humidité,53.5
2023-11-16 21:17:02.784034,B201,Humidité,53.5
2023-11-17 09:54:30.886060,E003,Humidité,57.5
2023-11-17 09:54:33.751081,B106,Humidité,53.5
2023-11-17 09:55:45.536402,E209,Humidité,55.0
2023-11-17 09:55:59.572558,E103,Humidité,54.0
2023-11-17 09:56:00.486587, hall-amphi,Humidité,55.5
2023-11-17 09:56:08.077533,E207,Humidité,50.5
2023-11-17 09:56:28.245232,B217,Humidité,53.5
2023-11-17 09:56:33.353516,E106,Humidité,56.0
2023-11-17 09:56:34.597450,B113,Humidité,61.0
2023-11-17 09:56:41.762784,B212,Humidité,58.5
2023-11-17 09:56:42.160063,B103,Humidité,52.5
2023-11-17 09:57:02.332740,Foyer-personnels,Humidité,55.5
2023-11-17 09:57:03.659178,B201,Humidité,57.5
2023-11-17 09:57:08.581200,E102,Humidité,53.0
2023-11-17 09:57:29.261128,amphi1,Humidité,58.5
2023-11-17 09:57:30.186472,E208,Humidité,56.5
2023-11-17 09:57:34.790707,hall-entrée-principale,Humidité,54.5
2023-11-17 09:58:03.665494,E206,Humidité,52.0
2023-11-17 09:58:13.643264,B112,Humidité,55.0
2023-11-17 09:58:32.656584,Local-velo,Humidité,84.5
2023-11-17 09:58:33.364328,E210,Humidité,58.0
2023-11-17 09:58:59.824622,E105,Humidité,51.5
2023-11-17 09:59:01.216770,B109,Humidité,58.5
2023-11-17 09:59:04.703974,E101,Humidité,52.5
2023-11-17 09:59:05.937801,B110,Humidité,54.0
2023-11-17 09:59:09.635382,B111,Humidité,54.5
2023-11-17 09:59:10.648828,Salle-conseil,Humidité,53.0
2023-11-17 09:59:19.444224,E007,Humidité,52.5
2023-11-17 09:59:34.199117,B203,Humidité,53.5
2023-11-17 09:59:43.612032,E104,Humidité,54.5
2023-11-17 10:00:01.635460,B003,Humidité,51.0
2023-11-17 10:01:39.914818,B108,Humidité,55.5
2023-11-17 10:03:44.661274,E006,Humidité,54.0
2023-11-17 10:04:00.019190,E004,Humidité,53.5
2023-11-17 10:04:04.436684,B202,Humidité,55.5
2023-11-17 10:04:11.916952,E001,Humidité,58.0
2023-11-17 10:04:30.739199,E003,Humidité,57.5
2023-11-17 10:04:34.360884,B106,Humidité,53.5
2023-11-17 10:05:45.289390,E209,Humidité,55.0
2023-11-17 10:05:59.219925,E103,Humidité,54.0
2023-11-17 10:06:00.242641, hall-amphi,Humidité,55.5
2023-11-17 10:06:07.814927,E207,Humidité,50.5
2023-11-17 10:06:29.026467,B217,Humidité,53.5
2023-11-17 10:06:32.925405,E106,Humidité,55.5
2023-11-17 10:06:34.148191,B113,Humidité,57.5
2023-11-17 10:06:41.506965,B212,Humidité,58.5
2023-11-17 10:06:42.121629,B103,Humidité,52.5
2023-11-17 10:07:02.192200,Foyer-personnels,Humidité,55.5
2023-11-17 10:07:03.412730,B201,Humidité,57.5
2023-11-17 10:07:08.335709,E102,Humidité,52.5
2023-11-17 21:01:31.768435,B108,Humidité,54.0
